Plot;Site;DM;SR;Loam;pH;P;C;Cover;Height
KVM1;a;2.973333333;19;35;5.3;2;1.9;123;54.93333333
KVM2;a;0.68;26;55;4.9;2;3.8;110.25;24.3
KVM3;a;7.426666667;9;;;;;139.6666667;163.5333333
KVM4;a;3.16;22;35;7.2;12;3.6;123.1666667;63.6
KVM5;a;4.229333333;14;5;4.4;23;3;110.6666667;71.66666667
KVM6;a;9.506666667;8;75;4.8;5;4.7;104.8333333;88.26666667
KVM7;a;5.414666667;15;80;5.3;18;3.9;137.3333333;48.66666667
KVM8;a;6.085333333;8;80;5.1;24;4.1;114.1666667;53.3
KVM9;a;4.213333333;25;80;6.3;3;10.5;131.8333333;82.33333333
KVM10;a;0.188;4;5;3.6;18;2.9;43.16666667;6.733333333
KVM11;a;4.607466667;13;5;4.3;10;3.4;111.1666667;24.2
KVM12;a;7.589333333;21;5;4.8;5;4.6;122.1666667;38.13333333
KVM13;a;4.589333333;17;5;4.3;4;;134.8333333;37.53333333
KVM14;a;3.573333333;26;;;;;141;44.26666667
KVM15;a;3.981333333;16;80;4.2;4;2.5;120;35.33333333
KVM16;a;3.16;29;;;;;109.5;56.33333333
KVM17;a;4.317333333;18;80;6.1;4;2.8;132.1666667;51.66666667
KVM18;a;3.036;19;80;4.5;9;7.9;112.6666667;59.64285714
KVM19;a;5.776;18;5;4.7;10;7.8;123.8333333;86.2
KVM20;b;5.666666667;21;5;4.8;11;6.2;142.1666667;70.66666667
KVM21;b;9.3204;19;;;;;115.5;99.73333333
KVM22;b;2.093333333;17;5;4.2;2;3.6;121.1666667;23.06666667
KVM23;b;5.746666667;2;35;4.6;3;5.6;119.1666667;104.9333333
KVM24;b;2.413333333;19;5;4.3;3;4.4;129;27.26666667
KVM25;b;12.42666667;13;;;;;168.8333333;216.3333333
KVM26;b;6.006666667;11;;;;;132;91.93333333
KVM27;b;3.972;13;80;7.2;20;2.3;105.8333333;51.6
KVM28;b;4.625333333;17;80;7.1;17;2.7;139;43.8
KVM29;b;2.842666667;8;15;4.3;13;3.8;101.3333333;31.8
KVM30;b;4.106666667;18;5;6.1;6;5;141.8333333;51.2
KVM31;b;4.266666667;17;5;4;10;5.5;123;48.33333333
KVM32;b;3.74;17;15;6.4;63;2.6;127;45.46666667
KVM33;c;3.627333333;8;5;4.9;16;1.7;111.3333333;31.93333333
KVM34;c;1.706;13;5;4.4;8;1.7;87.83333333;23.66666667
KVM35;c;1.745333333;22;5;4.3;11;2;107;32.13333333
KVM36;c;3.527333333;24;55;4.4;3;3.7;160.1666667;42
KVM37;c;3.348;20;5;4.3;3;5.3;132.8333333;34.66666667
KVM38;c;2.773333333;11;5;3.7;3;4.9;115.5;41.66666667
KVM39;c;3.888;18;;;;;126.3333333;24.8
KVM40;c;8.296;5;35;4.2;3;6.4;133.5;61.86666667
KVM41;c;3.4;8;5;4;1;1.9;151.6666667;21.53333333
KVM42;c;1.446666667;8;5;4.1;2;2.8;118.5;28.06666667
KVM43;c;2.110666667;5;5;3.7;2;2.1;106.1666667;27.86666667
KVM44;c;4.329333333;4;5;3.4;1;2.1;106.5;18.6
KVM45;c;1.966666667;8;5;3.7;1;2.3;124.3333333;16.06666667
KVM46;c;2.449333333;15;15;5.2;2;1.1;93.33333333;34.78571429
KVM47;d;6.098666667;8;55;3.5;3;3.4;112.6666667;57
KVM48;d;3.06;10;5;3.7;2;5.9;118.5;36.2
KVM49;d;3.932;13;5;4.6;6;1.7;113.1666667;22.06666667
KVM50;d;3.258666667;15;5;4.7;19;2;123.6666667;35.26666667
KVM51;d;9.318666667;8;55;7.6;10;18;145.5;184.3333333
KVM52;d;5.057333333;8;80;6.5;16;2.2;156.3333333;51.73333333
KVM53-;d;3.613373333;17;80;4.1;2;8.3;144.3333333;65.33333333
KVM54-;d;3.578666667;9;80;5;4;3.4;129.5;106.6
KVM55;d;7.12;7;80;4.2;9;3.3;121.6666667;108.6
KVM56;d;7.706666667;4;5;3.7;10;2.9;100.6666667;60.06666667
KVM57;d;3.436;9;5;3.4;4;4.3;117.8333333;38.53333333
KVM58;d;7.22;15;80;5.7;4;8.7;145.5;141.8571429
KVM59;d;5.853333333;11;80;5.9;5;3.9;122.5;68.85714286
KVM60;d;15.88133333;9;55;6.3;10;7.7;126.5;185.8666667
KVM61;e;2.853333333;17;55;4.2;13;9.2;128.5;22.33333333
KVM62;e;4.872;8;5;4.2;2;0.5;109;23.08333333
KVM63;e;7.533333333;13;5;7.3;3;3.1;126.6666667;77.06666667
KVM64;e;4.053333333;11;5;7.5;3;2.3;130.8333333;61
KVM65;e;5.32;30;5;7.7;4;4.3;139.5;49.66666667
KVM66;e;6.796;17;5;7.6;3;2.5;147.3333333;57.53333333
KVM67;e;5.9108;21;5;4.5;7;4.6;133.5;61.33333333
KVM68;e;3.630666667;6;5;3.5;1;2.2;110.3333333;22.86666667
KVM69;e;8.346666667;6;5;4.8;18;2.8;149.6666667;67.53333333
KVM70;e;2.626666667;12;5;4.4;5;2.7;139.8333333;48.26666667
KVM71;e;3.826666667;5;15;6.8;21;4.4;146;61.13333333
KVM72;e;7.234666667;18;5;4.6;10;8.8;169.8333333;83.5
KVM73;e;9.24;10;5;6;15;0.8;170.3333333;190.8
KVM74;e;25.32;1;5;5.7;15;3.2;100;295
KVM75;e;1.6592;3;5;4.1;16;1.9;91.16666667;17.73333333
KVM76;e;4.284;9;5;4.1;2;2.5;96.5;35.53333333
KVM77;e;3.057333333;14;5;8.1;3;0.7;116.6666667;32.06666667
KVM78;e;2.824;23;80;4.4;2;3.8;134.5;25
KVM79;e;0.757333333;19;5;8.2;5;0.7;89.66666667;17.13333333
